Target,att1,att2,att3,att6,att7,att8,att9,att10,att11,att12,att13,att14,att15
1910,300,20,40,1,10,22.7,53.0,1800,1.0,12.736,100,2700,7200
2007,100,20,20,1,10,24.4,35.0,1800,1.0,9.286,100,2700,7200
2061,50,20,40,1,10,27.2,38.0,1800,0.5,9.286,100,2700,7200
2100,40,20,40,1,10,27.2,38.0,1800,0.5,9.286,100,2700,7200
2295,270,20,40,1,10,22.7,53.0,1800,1.0,12.736,100,2700,7200
2296,280,20,40,1,10,22.7,53.0,1800,1.0,12.736,100,2700,7200
2400,250,20,40,1,10,22.7,53.0,1800,1.0,12.736,100,2700,7200
2402,250,20,40,1,10,23.0,45.0,1800,1.0,12.736,100,2700,7200
2417,260,20,40,1,10,22.7,53.0,1800,1.0,12.736,100,2700,7200
2506,100,20,10,1,10,24.4,35.0,1800,1.0,9.286,100,2700,7200
2579,100,20,40,1,10,21.1,52.0,1800,1.0,12.736,100,2700,7200
2587,220,20,40,1,10,22.7,53.0,1800,1.0,12.736,100,2700,7200
2622,190,20,40,1,10,22.7,53.0,1800,1.0,12.736,100,2700,7200
2675,200,20,40,1,10,22.7,53.0,1800,1.0,12.736,100,2700,7200
2774,100,20,40,1,10,21.1,52.0,1800,1.0,12.736,100,2700,7200
2823,160,20,40,1,10,22.7,53.0,1800,1.0,12.736,100,2700,7200
2943,150,20,40,1,10,22.7,53.0,1800,1.0,12.736,100,2700,7200
2974,130,20,40,1,10,22.7,53.0,1800,1.0,12.736,100,2700,7200
3029,100,20,40,1,10,23.0,45.0,1800,1.0,12.736,100,2700,7200
3083,140,20,40,1,10,22.7,53.0,1800,1.0,12.736,100,2700,7200
3099,100,20,50,1,10,23.0,45.0,1800,1.0,12.736,100,2700,7200
3140,120,20,40,1,10,22.7,53.0,1800,1.0,12.736,100,2700,7200
3141,100,20,40,1,10,22.7,53.0,1800,1.0,12.736,100,2700,7200
3190,110,20,40,1,10,22.7,53.0,1800,1.0,12.736,100,2700,7200
3201,100,20,40,1,10,21.1,52.0,1800,1.0,12.736,100,2700,7200
3208,100,20,30,1,10,23.0,45.0,1800,1.0,12.736,100,2700,7200
3241,250,20,40,1,10,23.0,45.0,1800,1.0,12.736,100,2400,7200
3295,250,20,40,1,10,23.0,45.0,1800,1.0,12.736,100,2100,7200
3351,100,20,40,1,10,21.1,52.0,1800,1.0,12.736,100,2700,7200
3415,100,20,40,1,10,21.1,52.0,1800,1.0,12.736,100,2700,7200
3421,80,20,40,1,10,22.7,53.0,1800,1.0,12.736,100,2700,7200
3445,100,20,40,1,10,21.1,52.0,1800,1.0,12.736,100,2700,7200
3583,60,20,40,1,10,22.7,53.0,1800,1.0,12.736,100,2700,7200
3693,50,20,40,1,10,22.7,53.0,1800,1.0,12.736,100,2700,7200
3712,40,20,40,1,10,22.7,53.0,1800,1.0,12.736,100,2700,7200
3757,100,20,40,1,10,21.1,52.0,1800,1.0,12.736,100,2700,7200
3772,100,20,40,1,10,21.1,52.0,1800,1.0,12.736,100,2700,7200
3776,250,20,40,1,10,23.0,45.0,1800,1.0,12.736,100,1200,7200
3837,70,20,40,1,10,22.7,53.0,1800,1.0,12.736,100,2700,7200
3847,100,20,40,1,10,21.1,52.0,1800,1.0,12.736,100,2700,7200
3909,30,20,40,1,10,22.7,53.0,1800,1.0,12.736,100,2700,7200
3921,30,20,40,1,10,27.2,38.0,1800,0.5,9.286,100,2700,7200
3936,20,20,40,1,10,22.7,53.0,1800,1.0,12.736,100,2700,7200
3976,100,20,40,1,10,21.1,52.0,1800,1.0,12.736,100,2700,7200
3990,100,20,40,1,10,21.1,52.0,1800,1.0,12.736,100,2700,7200
4005,20,20,40,1,10,27.2,38.0,1800,0.5,9.286,100,2700,7200
4008,250,20,40,1,10,23.0,45.0,1800,1.0,12.736,100,900,7200
4021,100,20,0,1,10,24.4,35.0,1800,1.0,9.286,100,2700,7200
4129,10,20,40,1,10,22.7,53.0,1800,1.0,12.736,100,2700,7200
4154,100,20,10,1,10,23.0,45.0,1800,1.0,12.736,100,2700,7200
4230,100,20,40,1,10,21.1,52.0,1800,1.0,12.736,100,2700,7200
4233,100,20,0,1,10,23.0,45.0,1800,1.0,12.736,100,2700,7200
4295,10,20,40,1,10,27.2,38.0,1800,0.5,9.286,100,2700,7200
4450,100,20,40,1,10,21.1,52.0,1800,1.0,12.736,100,2700,7200
4472,250,20,40,1,10,23.0,45.0,1800,1.0,12.736,100,300,7200
