Target,att1,att2,att3,att6,att7,att8,att9,att10,att11,att12,att13,att14,att15
648,300,20,40,1,10,23.4,43,1800,0.25,6.251,100,2700,7200
650,300,20,40,1,10,22.3,47,1800,0.25,6.251,100,2700,7200
650,300,20,40,1,10,23.4,43,1800,0.25,6.251,100,2700,7200
658,300,20,40,1,10,23.4,43,1740,0.25,6.251,100,2700,7200
661,300,20,40,1,10,23.4,43,1680,0.25,6.251,100,2700,7200
662,300,20,30,1,10,22.3,47,1800,0.25,6.251,100,2700,7200
668,300,20,20,1,10,22.3,47,1800,0.25,6.251,100,2700,7200
669,300,20,40,1,10,23.4,43,1800,0.25,6.251,100,2100,7200
669,300,20,40,1,10,23.4,43,1800,0.25,6.251,100,2400,7200
671,300,20,40,1,10,23.4,43,1800,0.25,6.251,100,1200,7200
671,300,20,40,1,10,23.4,43,1800,0.25,6.251,100,1500,7200
672,300,20,40,1,10,23.4,43,1800,0.25,6.251,100,1800,7200
680,300,20,40,1,10,23.4,43,1620,0.25,6.251,100,2700,7200
684,50,20,40,1,12,22.7,33,1800,0.1,5.567,100,2700,7200
687,50,20,40,1,10,22.7,33,1800,0.1,5.567,100,2700,7200
687,50,20,40,1,11,22.7,33,1800,0.1,5.567,100,2700,7200
691,300,20,40,1,10,23.4,43,1560,0.25,6.251,100,2700,7200
694,300,20,40,1,10,23.4,43,1800,0.25,6.251,100,900,7200
701,300,20,10,1,10,22.3,47,1800,0.25,6.251,100,2700,7200
704,50,20,40,1,8,22.7,33,1800,0.1,5.567,100,2700,7200
705,300,20,40,1,10,23.4,43,1800,0.25,6.251,100,600,7200
712,50,20,40,1,7,22.7,33,1800,0.1,5.567,100,2700,7200
713,300,20,40,1,10,23.4,43,1500,0.25,6.251,100,2700,7200
719,50,20,40,1,6,22.7,33,1800,0.1,5.567,100,2700,7200
720,50,20,40,1,5,22.7,33,1800,0.1,5.567,100,2700,7200
726,300,20,40,1,10,23.4,43,1800,0.25,6.251,100,300,7200
728,300,20,40,1,10,23.4,43,1440,0.25,6.251,100,2700,7200
731,50,20,40,1,3,22.7,33,1800,0.1,5.567,100,2700,7200
731,50,20,40,1,4,22.7,33,1800,0.1,5.567,100,2700,7200
733,50,20,40,1,2,22.7,33,1800,0.1,5.567,100,2700,7200
734,50,20,40,1,1,22.7,33,1800,0.1,5.567,100,2700,7200
